"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PERMITTED","PUC_NUM","SPECIAL_SIZING1","SPECIAL_SIZING2","SPECIAL_SIZING3","SPECIAL_SIZING4","TYPE_OF_CARRIER","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
"2019080393","03","0","1216 2ND STREET","","PITTSBURGH","PA","15444","MARK MILLER","7245505978","999999","","","","","N","","","","","","N","","","","","","","","3","","08"
"2019056940","03","0","200 RANGOS LANE","","WASHINGTON","PA","15301","WASTE MAMAGEMENT OF PENNSYLVANIA","8442792503","999999","","","","","N","","","","","","N","","","","","","","","1","00344050","04"
"2019076395","03","0","501 SEMINOLE ST","","LESTER","PA","19029","ALLSTATE CAREER","8556367847","080000","","","","","","","","","","","N","","","","","","","","1","00402805","07"
"2019075204","02","8","2500 CLYDE AVE","","NORTH VERSAILLES","PA","15137","S&S TRANSIT INC","4128297627","999999","","","","","N","","","","","","N","","","","","","","","1","","11"
"2019072552","02","8","1370 WASHINGTON PIKE","","BRIDGEVILLE","PA","15017","STATE OF PENNYSLVANIA","9999999999","999999","","","","","N","","","","","","N","","","","","","","","1","","11"
"2019012605","05","1","1923 WORTHINGTON DRIVE","","FORT WAYNE","IN","468445800","LAROCHE CARRIER LLC","3177027818","080000","","","","","N","","","","","","U","","","","","","","","1","02167883","08"
"2019114373","03","3","3801 OLD GREENWOOD RD","","FORT SMITH","AR","72903","ABF FREIGHT SYSTEM","4129288270","080000","","","","","N","","","","","","N","","","","","","","","2","00082866","08"
"2019053054","03","7","4985 BAKERSTOWN CULMERVILLE RD","","TARENTUM","PA","15084","MORROW REFUSE","7242652491","058400","","","","","N","","","","","","N","","","","","","","","2","00400538","04"
"2019101889","03","1","7135 CENTENNIAL PL","","NASHVILLE","TN","37209","WESTERN EXPRESS","8003167160","080000","","","","","N","","","","","","N","","","","","","","","1","00511412","08"
"2019034127","03","1","226 MOUNT MORRIS RD","","MT MORRIS","PA","15349","JACKS AUTO","7248633420","080000","","","","","N","","","","","","N","","","","","","","","3","00440131","08"
"2019107883","02","1","73A NOBLESTOWN RD","","CARNEGIE","PA","15106","BFI WASTE SERVICES OF PENNSYLVAN","4124292600","025999","","","","","N","","","","","","N","","","","","","","","1","00962087","03"
"2019017781","04","3","1306 MAIN ST","","CRESCENT","PA","15046","IRON CITY EXPRESS","7244572727","073280","","","","","N","","","","","","N","","26271","","","","","","1","00304898","04"
"2019023617","02","8","201 HAHN RD","","PITTSBURGH","PA","15223","ABC TRANSIT","4126510238","999999","","","","","N","","","","","","N","","348","","","","","","3","02420569","10"
"2019054796","02","1","2675 MORGANTOWN ROAD","","READING","PA","19607","PENSKE","2035962949","999999","","","","","N","","","","","","N","","","","","","","","2","","03"
"2019120244","04","1","182 STEVENSON RD","","RENFREW","PA","16053","CRIDER TRUCK LEASING INC","7244863466","080000","","","","","N","","","","","","N","","","","","","","","1","00435289","08"
"2019115821","03","4","75809 OLD 21 ROAD","","KIMBOLTON","OH","43743","M D BELL TRUCKING","3304079550","999999","","","","","N","","","","","","N","","483476","","","","","","1","01224018","08"
"2019004569","02","99","5325 PERRY HWY","","PITTSBURGH","PA","15229","ROSS WEST VIEW EMS","4129318200","045000","","","","","N","","","","","","N","","","","","","","","2","99999999","03"
