"CRN","AGE","AIRBAG1","AIRBAG2","AIRBAG3","AIRBAG4","AIRBAG_PADS","DVR_LIC_STATE","DVR_PED_CONDITION","EJECTION_IND","EJECT_PATH_CD","EXTRIC_IND","INJ_SEVERITY","NON_MOTORIST","PERSON_NUM","PERSON_TYPE","RESTRAINT_HELMET","SEAT_POSITION","SEX","TRANSPORTED","TRANSPORTED_BY","UNIT_NUM","VULNERABLE_ROAD_USER"
"2017035983","65","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","F","N","","1","0"
"2017035983","38","","","","","99.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","2","0"
"2017035054","27","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","1","0"
"2017035054","37","","","","","0.0","FL","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","2","0"
"2017035241","74","","","","","99.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","1","0"
"2017035241","86","","","","","9.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","2","0"
"2017035241","84","","","","","9.0","PA","0.0","","","","3.0","0","2","2.0","3.0","","F","Y","","2","0"
"2017070148","80","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","1.0","","F","N","","1","0"
"2017070148","41","","","","","0.0","PA","0.0","","","","0.0","0","2","1.0","1.0","","M","N","","2","0"
"2017046034","18","M","","","","8.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","1","0"
"2017043992","33","M","","","","8.0","PA","0.0","","","","0.0","0","1","1.0","1.0","","F","N","","1","0"
"2017043992","17","M","","","","8.0","PA","0.0","","","","0.0","0","1","1.0","1.0","","F","N","","2","0"
"2017045946","43","","","","","9.0","PA","0.0","","","","0.0","0","1","1.0","0.0","","M","N","","1","0"
"2017043674","61","M","","","","8.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","1","0"
"2017047524","47","","","","","0.0","PA","0.0","","","","4.0","0","1","1.0","0.0","","M","N","","1","0"
"2017047524","24","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","2","0"
"2017043912","23","","","","","9.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","F","N","","1","0"
"2017043912","22","","","","","9.0","PA","0.0","","","","0.0","0","2","1.0","3.0","","F","N","","2","0"
"2017043912","41","","","","","9.0","PA","0.0","","","","0.0","0","3","1.0","3.0","","M","N","","3","0"
"2017069999","24","M","","","","8.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","1","0"
"2017069999","51","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","F","N","","2","0"
"2017069999","74","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","F","N","","3","0"
"2017069999","27","","","","","0.0","PA","0.0","","","","0.0","0","2","2.0","3.0","","F","N","","2","0"
"2017045245","25","","","","","9.0","PA","0.0","","","","8.0","0","1","1.0","3.0","","F","Y","","1","0"
"2017045245","2","","","","","9.0","PA","0.0","","","","0.0","0","2","2.0","24.0","","M","Y","","1","0"
"2017045245","33","","","","","9.0","PA","0.0","","","","0.0","0","3","1.0","3.0","","F","N","","2","0"
"2017045245","25","","","","","9.0","PA","0.0","","","","0.0","0","4","1.0","3.0","","F","N","","3","0"
"2017036184","25","02","","","","8.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","F","N","","1","0"
"2017036184","42","","","","","9.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","F","N","","2","0"
"2017036184","64","","","","","9.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","F","N","","3","0"
"2017036184","4","","","","","9.0","PA","0.0","","","","0.0","0","2","2.0","24.0","","F","N","","3","0"
"2017036184","2","","","","","9.0","PA","0.0","","","","0.0","0","3","2.0","24.0","","M","N","","3","0"
"2017036331","39","","","","","0.0","PA","0.0","","","","8.0","0","1","1.0","3.0","","F","Y","","1","0"
"2017036331","28","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","2","0"
"2017044721","46","M","","","","8.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","F","N","","1","0"
"2017044721","55","M","","","","8.0","PA","0.0","","","","0.0","0","2","2.0","3.0","","F","N","","1","0"
"2017044721","26","","","","","9.0","PA","0.0","","","","0.0","0","3","1.0","3.0","","F","N","","2","0"
"2017035155","17","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","0.0","","F","N","","1","0"
"2017035155","33","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","0.0","","F","N","","2","0"
"2017070078","41","","","","","5.0","PA","0.0","","","","2.0","0","1","1.0","5.0","","M","Y","","1","0"
"2017070078","28","","","","","5.0","PA","0.0","","","","4.0","0","2","2.0","5.0","","F","Y","","1","0"
"2017044599","19","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","1","0"
"2017044599","51","","","","","0.0","PA","0.0","","","","0.0","0","1","1.0","3.0","","M","N","","2","0"
